"tick","Demand1"
1.0,2
2.0,2
3.0,2
4.0,2
5.0,2
6.0,2
7.0,2
8.0,2
9.0,2
10.0,2
11.0,2
12.0,2
13.0,2
14.0,2
15.0,2
16.0,3
17.0,3
18.0,3
19.0,3
20.0,3
21.0,3
22.0,3
23.0,3
24.0,3
25.0,3
26.0,3
27.0,3
28.0,3
29.0,3
30.0,3
31.0,3
32.0,3
33.0,3
34.0,3
35.0,3
36.0,3
37.0,3
38.0,3
39.0,3
40.0,3
41.0,3
42.0,3
43.0,3
44.0,3
45.0,3
46.0,4
47.0,4
48.0,4
49.0,4
50.0,4
51.0,4
52.0,4
53.0,4
54.0,4
55.0,4
56.0,4
57.0,4
58.0,4
59.0,4
60.0,4
61.0,4
62.0,5
63.0,5
64.0,5
